"Geschlecht","Alter","AnzahlGeschwister","WohnortMuenster","Wohntyp","Wohnflaeche","Wohnzufriedenheit","Wohnkosten","FahrzeitRadDom","MatheVorkurs","Studiengang","Lehre","AnderesStudium","Bundesland","EntfernungSchule","Abiturnote","Mathematik","SoWi","Spanisch","Informatik","Deutsch","Sport","Musik","Englisch","Physik","Erdkunde","Geschichte","Chemie","Kunst","Biologie","Franzoesisch","Wirtschaft","Keine","Textfeld","MathenoteDurchschnitt","Auslandsaufenthalt","Nebenjob","Bafoeg","Monatsbudget","Verkehrsmittel","SozialesEngagement","Buecher","ErwartetesGehalt","40Prozent","60Prozent","Medienvertrauen"
"männlich",19,"2","nein","bei meinen Eltern",12,"sehr zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","200-500 km",2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,NA,"zu Fuß",0,"51-100",50000,"40","60",47
"weiblich",25,"2","nein","bei meinen Eltern",15,"zufrieden",NA,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","0-10 km",2.3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,"Gesundheitswissenschaften und Psychologie","12","nein",0,0,NA,"ÖPNV",17.5,"51-100",3000,"40","3/5",23
"weiblich",19,"2","ja","alleine in einer Wohnung",45,"sehr zufrieden",570,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","ja, aber ich habe diese Ausbildung nicht abgeschlossen","nein","Nordrhein-Westfalen","100-200 km",1.5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"15","nein",0,0,1000,"Fahrrad",10,"51-100",40000,"40","60",32
"weiblich",18,"0","ja","bei meinen Eltern",14,"sehr zufrieden",NA,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",1.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"13","nein",16,0,NA,"Fahrrad",0,"101-500",40000,"40","60",52
"männlich",21,"2","ja","in einer WG",11,"zufrieden",365,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Niedersachsen","200-500 km",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"5","nein",0,766,1300,"Fahrrad",0,"101-500",40000,"40","60",83
"männlich",19,"2","ja","alleine in einer Wohnung",25,"es ist okay",370,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Baden-Württemberg","200-500 km",2.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"11","ja",0,0,400,"Fahrrad",0,"1-50",6000,"40","60",46
"weiblich",20,"2","ja","in einer WG",20,"zufrieden",360,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","100-200 km",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"8","nein",0,490,130,"Fahrrad",0,"101-500",40300,"40","3/5",68
"weiblich",20,"1","ja","bei meinen Eltern",50,"zufrieden",NA,"zwischen 20 und 30 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","0-10 km",2.2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"2","ja","in einer WG",13,"es ist okay",490,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",1.4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"14","nein",4,0,800,"Fahrrad",0,"101-500",30000,"40","60",72
"weiblich",22,"2","ja","in einer WG",16,"es ist okay",300,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Ich habe meinen Schulabschluss nicht in Deutschland gemacht","mehr als 1000 km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"0","ja",0,0,NA,"ÖPNV",16,"1-50",3000,"4","60",42
"männlich",18,"1","ja","alleine in einer Wohnung",30,"sehr zufrieden",550,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",10,0,2000,"Fahrrad",0,"101-500",4000,"40","3/5",85
"weiblich",19,"2","ja","in einem Wohnheim",9,"zufrieden",179,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",3,0,579,"Fahrrad",4,"101-500",42000,"40","3/5",51
"männlich",19,"1","nein","bei meinen Eltern",17,"zufrieden",NA,"Ich wohne nicht in Münster","nein","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erziehungswissenschaften","12","ja",16,0,450,"ÖPNV",0,"1001-2000",48000,"40","3/5",40
"männlich",19,"2","nein","bei meinen Eltern",200,"sehr zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","14","nein",15,0,700,"Auto",20,"101-500",70000,"40","60",86
"weiblich",19,"1","ja","in einem Wohnheim",20,"zufrieden",475,"weniger als 2 min","ja","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,"11","nein",9,0,700,"zu Fuß",0,"1001-2000",45000,"40","60",66
"männlich",21,"1","ja","alleine in einer Wohnung",30,"sehr zufrieden",650,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Schlewsig-Holstein","200-500 km",2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"7","nein",0,0,NA,"Fahrrad",0,"51-100",45000,"40","60",16
"männlich",18,"4","ja","in einer WG",12,"zufrieden",450,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"11","nein",8,0,1100,"Fahrrad",0,"501-1000",80000,"40","60",89
"weiblich",19,"1","ja","in einer WG",18,"sehr zufrieden",280,"weniger als 2 min","nein","Betriebswirtschaftslehre","nein","nein","Hamburg","200-500 km",1.1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",0,0,800,"Fahrrad",3,"mehr als 2000",60000,"40","3/5",82
"männlich",20,"1","ja","alleine in einer Wohnung",54,"zufrieden",1200,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.6,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"7","nein",30,0,2000,"Fahrrad",4,"51-100",60000,"40","3/5",79
"männlich",18,"2","ja","alleine in einer Wohnung",23.5,"es ist okay",570,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,451,1054,"Fahrrad",0,"101-500",50000,"40","60",66
"weiblich",21,"1","ja","alleine in einer Wohnung",27,"zufrieden",390,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","20-50 km",1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",15,0,700,"ÖPNV",30,"1-50",70000,"40","3/5",57
"männlich",18,"3","ja","alleine in einer Wohnung",39,"zufrieden",450,"Ich weiß es nicht","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","nein",7,0,NA,"ÖPNV",0,"51-100",50000,"40","60",55
"weiblich",21,"1","ja","in einer WG",12,"sehr zufrieden",460,"zwischen 5 und 10 min","nein","Politik und Wirtschaft","nein","nein","Bayern","200-500 km",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"9","ja",0,0,900,"Fahrrad",0,"101-500",3200,"40","60",63
"männlich",18,"0","ja","alleine in einer Wohnung",50,"sehr zufrieden",300,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","ja",0,0,350,"zu Fuß",0,"51-100",38000,"40","3/5",41
"männlich",19,"2","ja","in einem Wohnheim",18,"zufrieden",320,"zwischen 10 und 15 min","nein","Wirtschaft und Recht","nein","nein","Niedersachsen","100-200 km",1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,"10","nein",0,0,250,"Fahrrad",8,"501-1000",85000,"40","60",72
"männlich",19,"1","ja","in einer WG",12,"zufrieden",540,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","ja",0,0,900,"Fahrrad",0,"501-1000",50000,"40","3/5",91
"männlich",18,"4","ja","bei meinen Eltern",212,"sehr zufrieden",NA,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",1.4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"14","nein",12,0,NA,"Fahrrad",4,"1001-2000",2100,"40","60",66
"männlich",19,"2","ja","alleine in einer Wohnung",54,"sehr zufrieden",850,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betriebswirtschaftslehre m. Rechnungswesen","13","nein",0,0,600,"Fahrrad",0,"101-500",45000,"40","3/5",66
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",21,"2","ja","in einer WG",11,"zufrieden",365,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","ja und ich habe dieses Studium abgeschlossen","Nordrhein-Westfalen","20-50 km",1.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",8,0,400,"zu Fuß",5,"51-100",40000,"40","60",88
"weiblich",18,"2","ja","in einer WG",22,"sehr zufrieden",390,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",4,0,NA,"Fahrrad",0,"501-1000",50000,"40","60",97
"weiblich",19,"1","ja","in einer WG",12,"sehr zufrieden",500,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",2.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","ja",0,0,500,"Fahrrad",0,"501-1000",3000,"40","60",48
"weiblich",18,"1","ja","in einer WG",25,"sehr zufrieden",500,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"11","nein",6,0,550,"Fahrrad",0,"1001-2000",40000,"40","60",81
"weiblich",19,"1","ja","zusammen mit meinem Partner/meiner Partnerin",70,"es ist okay",NA,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","0-10 km",2.2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"8","ja",0,0,NA,"Fahrrad",30,"101-500",36000,"40","60",47
"männlich",19,"1","ja","in einer WG",18,"unzufrieden",380,"zwischen 20 und 30 min","nein","Politik und Wirtschaft","nein","nein","Nordrhein-Westfalen","100-200 km",1.3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","nein",0,0,606,"Fahrrad",8,"501-1000",5000,"40","3/5",29
"männlich",20,"1","ja","in einer WG",35,"zufrieden",485,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"12","nein",0,0,1000,"Fahrrad",4,"1-50",50000,"40","3/5",81
"männlich",21,"1","ja","in einem Wohnheim",15,"sehr zufrieden",330,"zwischen 10 und 15 min","nein","Ökonomik","nein","nein","Nordrhein-Westfalen","100-200 km",2.1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","nein",4,0,1000,"Fahrrad",0,"101-500",60000,"40","60",95
"männlich",20,"1","ja","in einem Wohnheim",25,"zufrieden",569,"zwischen 5 und 10 min","nein","Volkswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","100-200 km",3.1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2","nein",0,544,800,"Fahrrad",0,"1-50",80000,"40","60",23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,"Fahrrad",10,"101-500",45600,"40","60",77
"weiblich",22,"2","ja","alleine in einer Wohnung",27,"sehr zufrieden",460,"zwischen 5 und 10 min","ja","Volkswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","50-100 km",2.3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,460,"Fahrrad",0,"51-100",40000,"40","60",72
"männlich",19,"1","ja","in einem Wohnheim",15,"es ist okay",NA,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","50-100 km",2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"12","nein",0,0,NA,"Fahrrad",0,"101-500",45000,"40","60",56
"männlich",19,"2","ja","alleine in einer Wohnung",29,"zufrieden",600,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",0,0,NA,"Fahrrad",4,"1-50",50000,"40","3/5",70
"männlich",28,"2","nein","zusammen mit meinem Partner/meiner Partnerin",58,"zufrieden",620,"Ich wohne nicht in Münster","nein","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",2.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"12","nein",5,0,250,"ÖPNV",8,"101-500",45000,"40","60",41
"weiblich",18,"2","ja","bei meinen Eltern",160,"sehr zufrieden",NA,"zwischen 10 und 15 min","ja","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",1.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","nein",0,0,200,"Fahrrad",8,"51-100",60000,"40","3/5",69
"weiblich",20,"1","ja","in einem Wohnheim",10,"sehr unzufrieden",280,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","50-100 km",1.6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"12","nein",10,0,500,"zu Fuß",20,"101-500",70000,"40","3/5",12
"männlich",19,"1","ja","alleine in einer Wohnung",26.5,"zufrieden",700,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",0,16,300,"Fahrrad",0,"501-1000",50000,"40","3/5",67
"männlich",19,"0","ja","in einer WG",26,"es ist okay",620,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.8,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,1200,"Fahrrad",0,"101-500",80000,"40","3/5",100
"weiblich",21,"1","ja","in einer WG",18,"zufrieden",426,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",1.3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Politik/Wirtschaft","14","nein",10,0,1000,"Fahrrad",12,"501-1000",3600,"40","60",54
"männlich",19,"1","nein","bei meinen Eltern",20,"sehr zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",8,0,NA,"ÖPNV",0,"1-50",40000,"40","60",88
"weiblich",21,"5 oder mehr","ja","bei meinen Eltern",20,"es ist okay",NA,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",2.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","ja",NA,511,511,"ÖPNV",3,"1-50",391.66,"40","3/5",69
"männlich",19,"1","ja","in einem Wohnheim",36,"zufrieden",412,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Mecklenburg-Vorpommern","200-500 km",0.7,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","nein",0,0,NA,"Fahrrad",0,"101-500",60000,"40","3/5",45
"weiblich",21,"1","nein","bei meinen Eltern",30,"zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",2.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,0,200,"ÖPNV",0,"1-50",NA,"40","3/5",41
"weiblich",19,"1","ja","in einer WG",8,"sehr zufrieden",330,"zwischen 2 und 5 min","nein","Politik und Wirtschaft","nein","nein","Nordrhein-Westfalen","100-200 km",1.3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","nein",12,0,NA,"Fahrrad",0,"501-1000",NA,"40","3/5",57
"männlich",23,"2","ja","in einem Wohnheim",10,"unzufrieden",250,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Berlin","500-1000 km",2.2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","nein",4,0,650,"Fahrrad",0,"501-1000",40000,"40","60",33
"männlich",19,"3","ja","alleine in einer Wohnung",35,"unzufrieden",990,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",1.9,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"13","ja",8,0,NA,"Fahrrad",2,"101-500",45000,"40","60",88
"männlich",20,"0","ja","in einem Wohnheim",16,"zufrieden",318,"zwischen 20 und 30 min","ja","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",2.1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"8","nein",0,0,1000,"Fahrrad",0,"501-1000",50000,"40","60",71
"männlich",20,"3","nein","bei meinen Eltern",170,"es ist okay",0,"Ich wohne nicht in Münster","nein","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",3.6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"9","nein",0,511,300,"ÖPNV",0,"mehr als 2000",60000,"40","60",29
"männlich",23,"2","nein","bei meinen Eltern",15,"es ist okay",NA,"Ich wohne nicht in Münster","ja","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","20-50 km",2.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",0,0,NA,"ÖPNV",0,"101-500",3500,"40","60",66
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",20,"3","nein","bei meinen Eltern",30,"zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",2.3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,90,"ÖPNV",0,"1001-2000",70000,"40","3/5",71
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",20,"1","ja","alleine in einer Wohnung",22,"es ist okay",600,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"14","nein",10,0,300,"Auto",0,"1-50",60000,"40","60",32
"männlich",20,"2","ja","in einer WG",15,"zufrieden",400,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","50-100 km",1.8,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",0,0,700,"Fahrrad",0,"1-50",50000,"40","60",74
"weiblich",20,"1","ja","in einer WG",18,"sehr zufrieden",500,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",2.7,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,900,"Fahrrad",0,"1001-2000",45000,"40","60",80
"männlich",19,"0","ja","in einer WG",20,"zufrieden",600,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2.3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,1500,"ÖPNV",2,"501-1000",70000,"40","3/5",59
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"1","ja","zusammen mit meinem Partner/meiner Partnerin",50,"zufrieden",500,"zwischen 10 und 15 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","50-100 km",2.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"8","nein",2,0,745,"Fahrrad",0,"101-500",NA,"40","60",75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",19,"2","ja","zusammen mit meinem Partner/meiner Partnerin",46,"sehr zufrieden",830,"weniger als 2 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","200-500 km",1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"8","nein",6,812,NA,"Fahrrad",20,"mehr als 2000",60000,"40","60",17
"männlich",19,"1","ja","alleine in einer Wohnung",30,"sehr zufrieden",600,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",6,0,NA,"Fahrrad",5,"101-500",70000,"40","3/5",74
"männlich",20,"1","ja","alleine in einer Wohnung",22,"es ist okay",NA,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","50-100 km",1.7,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,0,NA,"Fahrrad",32,"101-500",3500,"40","60",62
"männlich",19,"3","nein","bei meinen Eltern",25,"sehr zufrieden",NA,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"13","nein",0,0,NA,"ÖPNV",16,"101-500",70000,"40","3/5",96
